id,variable1,variable2,variable3
010900020401,0.9980958334635943,0.22449644648057268,C
010900020306,0.6373635118361562,-0.8051864389749044,A
010900020205,0.5825711770448834,-0.526202299902872,B
010900020301,0.841091955313459,-0.12320848628809919,B
011000020106,0.10733339376747608,0.6095208831509985,B
011000020302,0.5678645358420908,1.8163657471184071,A
010900020303,0.31968934647738934,-0.6142998797558801,C
011000010701,0.6057744803838432,1.0726309021862686,C
011000020206,0.6254302514716983,0.27172432421565285,C
010900040202,0.6707692318595946,-0.5862274760370979,C
010802050402,0.1320275312755257,-0.9463040809407308,C
010802050501,0.18491488811559975,-0.07442941138648565,C
010900020304,0.8234631069935858,0.14236604821481821,A
010900020204,0.13474911567755044,1.2040739582734497,C
011000020105,0.3703255201689899,-0.4979299502974969,C
011000010402,0.13171799294650555,0.10698223904290716,A
010900040203,0.512582183117047,1.363951165078419,C
010900020302,0.3131683999672532,-2.1343538613188775,A
010900020107,0.223343187244609,0.13749826303121157,C
010802050202,0.37293660803698003,-0.5659781126932911,A
010802050401,0.41222608694806695,-1.1968760885223373,B
011000020204,0.05704824347048998,-0.3364019832625128,C
011000020108,0.19350057817064226,0.2784616109895208,C
011000020205,0.6161827403120697,-1.8843097225548329,C
010900040204,0.9790134415961802,-0.20342135289544203,B
010900020106,0.36031070840545,0.17951458027222458,A
011000020201,0.015380326192826033,1.3750960374123071,B
011000020202,0.4362792226020247,0.7954122424189762,A
010900020203,0.11685053538531065,-3.35482205529018,A
010900040201,0.34473780379630625,-2.3632169981926174,A
011000020101,0.4499232836533338,-0.2987873077037734,C
011000020104,0.5069056034553796,-0.46957787642929716,B
010802050203,0.34963749209418893,1.477987502457606,B
011000020203,0.2473630327731371,-0.5715842269517142,C
011000010401,0.1556297957431525,-0.4351962763983863,C
011000020103,0.36712819850072265,0.1367651859464648,C
010900020105,0.4003589185886085,0.0333417342466807,B
010900020202,0.13191571342758834,-1.6424499244266808,C
011000020102,0.16962747718207538,-0.11065548952391935,B
011000010105,0.14217566465958953,-0.9476152715272975,B
011000010101,0.6541744086425751,-0.3615818831588437,B
010802050201,0.8337817566934973,0.5797611556780475,A
010900040103,0.058830166002735496,0.9984304946430624,A
010900040101,0.6075674737803638,0.8350316319028589,A
010802040306,0.5307944095693529,-1.5538214287596144,C
010802050101,0.6486827521584928,-1.3212387925733258,A
010900040102,0.27776922937482595,-1.218453091042241,B
010900020101,0.01890251529403031,-0.2507459770820921,A
011000010103,0.1632145196199417,1.1148885258657906,A
010802040307,0.2676929666195065,-0.4046177220359987,B
010900010802,0.1518318287562579,-0.5979496593525512,B
011000010102,0.5743502699770033,-0.6506155750603493,B
010900020102,0.12205031258054078,0.8633544174862345,C
011000010104,0.04023449099622667,1.3604640681342337,A
011000010202,0.5200060133356601,0.11540356432060174,B
010802040402,0.10829779598861933,-1.144137427573409,C
010802010702,0.7946507029701024,-0.923207615964231,C
010802040401,0.5592614624183625,0.02710349474764733,A
011000010201,0.48264566995203495,-0.3399871766078127,C
010802040305,0.5316566391848028,-0.49984355106395956,B
010802040303,0.8182092220522463,-1.270917386749993,A
010900010803,0.0648146232124418,-0.6907315210370352,A
010900010901,0.44931049016304314,0.41978376864787714,C
010900010902,0.6532020072918385,0.17643631311268873,A
010900020103,0.7090672054328024,0.5620788832908432,A
011000040207,0.47359184036031365,0.35412381584943253,A
010802050904,0.029905896401032805,0.4103344049088554,C
010900020701,0.7850579696241766,-0.8329242341168827,B
011000030305,0.036967153660953045,0.4425582737993997,A
010802050905,0.7600760769564658,0.6269459297595653,C
011000040201,0.9472649407107383,1.1244617941024482,C
011000030306,0.8810992303770036,0.28619504975505766,C
010900020602,0.12939278176054358,-0.40622755767009844,C
011000030302,0.3922415100969374,0.6393737772924015,C
011000030304,0.6815245877951384,0.762899923769053,C
010802050901,0.8447572893928736,-0.99085926268178,C
011000030202,0.11550540826283395,0.9241942889804537,B
010802050701,0.837850809795782,1.0239204283651333,C
011000030201,0.7909871095325798,-1.2908670542801475,A
010802050902,0.48396778013557196,-1.7104800754469562,A
011000030203,0.06466287444345653,1.1283288403536191,A
010802050804,0.19074612157419324,0.06166653809183189,B
010802050903,0.016299028415232897,0.039844711497985415,A
010802050803,0.8782276636920869,0.0945576860642385,A
011000030101,0.5092662272509187,-0.16453224098921665,B
010802050805,0.2950706274714321,-1.0610919152590483,C
011000030103,0.5526875907089561,2.0690788132569007,C
011000030102,0.09682566788978875,0.9631871147673443,B
010802050802,0.9687713449820876,-0.7130656993098234,A
011000020107,0.892584164859727,0.4643998948040289,C
010900020305,0.5552469545509666,1.6313172904592728,B
011000020303,0.7973284826148301,-0.2637549783158342,B
010802050504,0.8666315355803818,0.7176795953031075,C
010802050503,0.7080353288911283,-0.06169145692716542,C
011000010704,0.1004173627588898,-1.3270115183058941,C
010802050801,0.9346972010098398,-0.020436020975455268,C
011000020301,0.11629406432621181,-1.200205996927141,B
010802010701,0.5281798325013369,0.3093180875862875,B
010900030101,0.5819689650088549,-0.568437330354306,C
010900030102,0.38038769946433604,-0.5124206453914032,B
010802040304,0.4112575859762728,2.20568715919666,A
010900030103,0.023752463283017278,-0.014234708472235801,A
010802040301,0.24781150883063674,-0.07992114410366642,A
010900010701,0.5403343355283141,0.05378967560178799,A
010802040302,0.35617622057907283,1.0408149504112876,C
010700050201,0.8549253169912845,-0.2507772949450735,A
010700050102,0.60714156832546,-0.6093521657916761,A
010802040105,0.21676892950199544,-0.05426600194946778,B
010900040802,0.5890982316341251,-0.6484584817991682,A
010900040804,0.8711553227622062,1.084555445478084,A
011000010403,0.7391760619357228,3.1365863342287765,B
011000010204,0.3577207662165165,-0.07850086852414388,A
010900040301,0.9491423424333334,0.1419375219967875,C
010900040801,0.09522301005199552,0.301868469121399,C
010900040302,0.4088656213134527,0.7002826355216053,A
010900030104,0.6094054579734802,0.08844404563095454,A
011000010203,0.3806194842327386,1.2997808967713282,C
010900010601,0.9561588084325194,-0.20505583313575187,C
010900010602,0.7862278493121266,1.0121655442791082,B
010900010801,0.7316566908266395,-0.9324405172874562,C
010900030201,0.01740179187618196,0.4946224157089886,A
010900010603,0.9196713722776622,-0.9682055438095505,A
010900030105,0.4881543798837811,1.3049850714485152,B
010900010604,0.8600099433679134,0.5866874155809162,B
010700050101,0.28930140216834843,-0.08104899420050435,A
010900050303,0.856906721368432,1.375814320744851,B
011000030301,0.7600601078011096,-0.06545108349036557,A
011000010703,0.15173793211579323,-0.30247707122307443,B
011000010602,0.07342003332450986,0.4199372130813707,C
011000010702,0.549393622437492,-0.3434677845586604,A
010900020402,0.22071097302250564,0.8022394980368005,B
010900020501,0.12137764669023454,-0.8809751436915573,A
010900030204,0.7678495943546295,-1.0856547123461981,C
010900030203,0.9772722162306309,2.1724813306422206,C
010900020503,0.8460016758181155,-2.1319484650776324,B
010900040502,0.2299570592585951,1.3743996149985258,C
010900040501,0.8435062412172556,-1.0711321786482864,A
010900040604,0.3806566600687802,-0.25565615417132176,A
010900040901,0.5028777061961591,-1.5797950331281343,C
010900040605,0.569528425578028,-0.06253517311063596,C
010900040702,0.27883454505354166,0.5153147921750822,B
010900040608,0.4130549009423703,-0.8813948733623852,B
010900040606,0.32401469396427274,-0.7830392903435032,A
010900040609,0.6494522255379707,1.3886092734059958,A
010900040607,0.45607558102346957,-0.47728986041052085,B
010900040602,0.8608045312575996,1.0154406489255983,B
010900040903,0.7053681118413806,-1.1794817280073058,B
010900040603,0.468722757184878,0.5851023290677105,C
010900040601,0.9786168998107314,0.27539844652650947,A
010900040910,0.42815789044834673,-0.8454438627123452,A
010900040904,0.7848731405101717,0.34954292020512956,A
010900040908,0.6908613508567214,0.3142602459680233,A
010900040911,0.21689651580527425,1.101288935127316,C
010900040912,0.31163120502606034,-0.33956209189813436,B
011000010502,0.8949927622452378,-0.3210762329152663,A
011000010501,0.5041714641265571,0.7136810393427433,C
010900050101,0.6425867734942585,0.24143251220390596,A
010900050202,0.16270185308530927,1.009736546596031,A
010900050203,0.5604546300601214,-0.006770632280713515,A
010900050102,0.6863340837880969,1.1844911143701604,A
010900050201,0.49159740866161883,-1.5786086478916066,B
010900050205,0.6127873444929719,0.6021862862291208,C
010900050204,0.0029932844918221235,0.7675486704025952,B
010900050401,0.11436395277269185,-1.100590867950954,A
010900050404,0.24824675708077848,-0.47983079622023506,A
010900050403,0.8512186876032501,-0.280303654487276,B
010900030208,0.47806642204523087,-0.8702146842251545,C
010900030206,0.11616189614869654,-0.8844233057471022,A
010900030202,0.40800628112629056,-0.5033692124851377,A
010900020502,0.33934305887669325,-0.44548064485337974,B
010900040401,0.8457861666101962,0.24281476745003994,B
010900040701,0.37812286452390254,-1.2715068591009748,B
010900040905,0.8192846646998078,-0.43852434899982146,A
010900040803,0.8801700526382774,-0.7658451688449193,A
